id,en,zh-CN,zh-TW
power,Power,功率,功率
power-calculator,Power Calculator,功率计算器,功率計算器
price,Price,价格,價格
price-performance,Price-Performance,性价比,性價比
psu,PSU,电源,電源
ram,RAM,内存,記憶體
ram-frequency,RAM Frequency,内存频率,記憶體頻率
ram-latency,Latency (Lower is better),延迟（越低越好）,延遲（越低越好）
ram-score,RAM Benchmark,RAM Benchmark,RAM Benchmark
ram-timing,Memory timings,内存时序,記憶體時序
read-speed,Read Speed,读取速度,讀取速度
recommended-psu-wattage,Recommended PSU wattage,建议电源功率,建議電源功率
remove,Remove,移除,移除
remove-comparison,Remove From Comparison,从比较中移除,從比較中移除
single-core,Single-Core,单核,單核
size,Size,尺寸,尺寸
ssd,SSD,固态硬盘,固態硬碟
ssd-score,SSD Benchmark,SSD Benchmark,SSD Benchmark
suggestion,Suggestion,建议,建議
suggestion-motherboard-overclock,choose a motherboard that support overclocking,选择支持超频的主板。,選擇支援超頻的主機板。
suggestion-motherboard-type,can choose a more suitable motherboard,可以选择更合适的主板。,可以選擇更合適的主機板。
suggestion-ram-motherboard-incompatible,The motherboard does not accommodate the memory clock speeds(<b>{{ ram }} MHz</b>).,主板不兼容内存速度(<b>{{ ram }} MHz</b>)。,主機板不兼容記憶體速度(<b>{{ ram }} MHz</b>)。
total-price,Total: ,总额: ,總額: 
type,Type,类型,類型
warning-aio-cooler-case-incompatible,The aio cooler is not compatible with the case,The aio cooler is not compatible with the case,The aio cooler is not compatible with the case
warning-air-cooler-case-incompatible,The cooler is too high,The cooler is too high,The cooler is too high
warning-gpu-case-incompatible,"The length of the graphics card is too long: length of graphics card, <b>{{ gpu }} mm</b>, exceeds the maximum VGA length of <b>{{ case }} mm</b>.",显卡长度太长：显卡的长度(<b>{{ gpu }} mm</b>)，超出了機箱最大支持的长度(<b>{{ case }} mm</b>)。,顯示卡長度太長：顯示卡的長度(<b>{{ gpu }} mm</b>)，超出了機箱最大支援的長度(<b>{{ case }} mm</b>)。
warning-motherboard-case-incompatible,The motherboard form factor (<b>{{ mb }}</b>) is not compatible with the computer case.,主板与电脑机箱不兼容：主板規格(<b>{{ mb }}</b>),主機板與電腦機殼不兼容：主機板規格(<b>{{ mb }}</b>)
warning-motherboard-cpu-incompatible,CPU is not compatible with the motherboard,CPU和主板不兼容。,CPU和主機板不兼容。
warning-power-not-enough,Insufficient power supply wattage,电源功率不足。,電源功率不足。
watt,W,瓦,瓦
weight,Weight,重量,重量
write-speed,Write Speed,写入速度,寫入速度
try-ai-build-header,Want some advice?,想要一些建议吗?,想要一些建議嗎 ?
try-ai-build-button,Try AI PC Builder,试试AI装机,試試AI裝機
